City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,dubinino,55.6192,89.0911,71.62,58,100,4.32,RU,1690095042
323,camalu,30.85,-116.0667,66.6,89,24,3.38,MX,1690095043
324,cannonvale,-20.2833,148.7,69.19,64,91,4.32,AU,1690095043
325,xilin hot,43.9667,116.0333,76.86,38,13,14.45,CN,1690095044
326,urzhar,47.093,81.6294,96.44,15,55,9.89,KZ,1690095045
327,gobichettipalayam,11.4667,77.45,90.54,46,92,4.72,IN,1690095045
328,paimpol,48.7784,-3.0438,65.84,95,100,12.91,FR,1690095046
329,san-pedro,4.7485,-6.6363,74.62,92,100,4.23,CI,1690095046
330,sault ste. marie,46.5168,-84.3333,61.36,89,0,4.61,CA,1690094930
331,kuroiso,36.9667,140.05,92.32,59,95,5.23,JP,1690095048
332,conceicao do araguaia,-8.2578,-49.2647,65.79,52,0,2.77,BR,1690095048
333,ola,59.5833,151.2833,59.14,96,100,3.36,RU,1690095049
334,tazacorte,28.629,-17.9293,72.57,80,20,18.41,ES,1690095049
335,arno,60.1167,18.6333,61.54,58,17,7.49,SE,1690095050
336,nemuro,43.3236,145.575,62.28,90,100,13.82,JP,1690095051
337,taikang,46.8333,124.4167,71.01,96,100,9.24,CN,1690095051
338,suncho corral,-27.9336,-63.4294,60.26,36,24,21.54,AR,1690095052
339,hovd,48.0056,91.6419,84.63,15,94,14.88,MN,1690095053
340,corner brook,48.9667,-57.9484,69.96,97,100,9.22,CA,1690095053
341,mutxamel,38.4158,-0.4453,83.88,74,20,5.75,ES,1690095054
342,turinskaya sloboda,57.6232,64.3858,66.0,83,100,7.4,RU,1690095054
343,skegness,53.1436,0.3363,62.67,92,100,19.15,GB,1690095055
344,la troncal,-2.4,-79.3333,74.21,85,56,1.54,EC,1690095055
345,sosnovo-ozerskoye,52.5249,111.5418,76.62,30,93,6.31,RU,1690095056
346,inarajan village,13.2736,144.7484,86.99,88,100,8.9,GU,1690095057
347,vorkuta,67.5,64.0,62.8,94,100,5.75,RU,1690095059
348,chumphon,10.3333,98.8333,73.89,87,100,9.6,TH,1690095059
349,fisterra,42.9049,-9.2629,56.75,81,100,3.22,ES,1690095060
350,olovyannaya,50.95,115.5667,76.68,39,69,14.81,RU,1690095060
351,geraldton,-28.7667,114.6,73.81,31,0,10.36,AU,1690095061
352,ulanhot,46.0833,122.0833,64.78,92,100,17.85,CN,1690095062
353,awjilah,29.1081,21.2869,91.31,27,0,8.37,LY,1690095062
354,luau,-10.7073,22.2247,72.9,33,5,11.21,AO,1690095063
355,cody,44.5263,-109.0565,71.82,42,0,5.75,US,1690095063
356,katsuura,35.1333,140.3,78.6,72,66,8.57,JP,1690095064
357,nadi,-17.8,177.4167,75.2,69,75,6.91,FJ,1690095065
358,mouila,-1.8685,11.0559,73.92,78,91,1.1,GA,1690095065
359,alo,7.4178,6.7371,75.96,94,100,1.3,NG,1690095066
360,axum,14.1245,38.7244,66.87,68,58,4.83,ET,1690095066
361,katima mulilo,-17.5,24.2667,68.49,34,0,7.36,NA,1690095067
362,falmouth,50.1544,-5.0711,59.9,100,100,10.36,GB,1690094968
363,nuuk,64.1835,-51.7216,45.21,100,100,2.3,GL,1690095068
